movie_id,title,release_year,genre,duration_min,catalog_date,popularity_score,quality_score
M0659,Movie 0659,1993,Drama,120,2023-01-01,0.1696,3.27
M0366,Movie 0366,2024,Crime,103,2023-01-02,0.0521,4.1
M0950,Movie 0950,1991,Romance,97,2023-01-02,0.0156,2.65
M0968,Movie 0968,2001,Horror,99,2023-01-03,0.0032,3.71
M1032,Movie 1032,1999,Thriller,110,2023-01-03,0.0039,3.75
M1132,Movie 1132,1999,Action,116,2023-01-03,0.0368,3.48
M0175,Movie 0175,2003,Thriller,109,2023-01-03,0.0778,3.8
M0255,Movie 0255,2012,Sci-Fi,118,2023-01-04,0.0155,4.45
M1133,Movie 1133,2016,Sci-Fi,112,2023-01-04,0.079,4.49
M0155,Movie 0155,2024,Drama,138,2023-01-04,0.0583,4.09
M0620,Movie 0620,2020,Drama,110,2023-01-04,0.0078,3.69
M1157,Movie 1157,2024,Thriller,123,2023-01-05,0.1211,3.07
M0972,Movie 0972,2024,Action,121,2023-01-05,0.0257,3.85
M1087,Movie 1087,1991,Documentary,92,2023-01-05,0.0272,2.97
M1188,Movie 1188,2020,Sci-Fi,112,2023-01-05,0.0185,3.24
M0404,Movie 0404,1997,Horror,85,2023-01-05,0.0471,3.52
M0435,Movie 0435,1992,Documentary,73,2023-01-06,0.0041,3.39
M1141,Movie 1141,2022,Adventure,136,2023-01-06,0.0304,3.75
M0611,Movie 0611,2008,Drama,106,2023-01-06,0.0524,2.68
M0463,Movie 0463,2005,Drama,69,2023-01-07,0.0172,4.29
M0165,Movie 0165,2026,Horror,117,2023-01-08,0.0442,3.44
M0257,Movie 0257,2010,Romance,113,2023-01-08,0.1752,3.99
M0939,Movie 0939,2022,Drama,121,2023-01-09,0.0172,3.79
M0350,Movie 0350,2019,Action,126,2023-01-09,0.0568,2.79
M0294,Movie 0294,1999,Family,93,2023-01-10,0.0133,3.71
M0551,Movie 0551,2013,Comedy,102,2023-01-10,0.0116,4.0
M0317,Movie 0317,1990,Thriller,132,2023-01-11,0.4769,3.43
M0144,Movie 0144,2012,Drama,123,2023-01-11,0.0283,3.55
M0338,Movie 0338,2014,Thriller,83,2023-01-11,0.0038,3.07
M0648,Movie 0648,2024,Horror,104,2023-01-11,0.063,3.84
M0292,Movie 0292,2016,Romance,112,2023-01-11,0.0417,4.56
M0776,Movie 0776,2007,Action,104,2023-01-12,0.006,4.13
M0556,Movie 0556,2025,Romance,94,2023-01-12,0.1247,3.51
M1028,Movie 1028,2008,Adventure,120,2023-01-13,0.0352,3.14
M0452,Movie 0452,2010,Sci-Fi,149,2023-01-14,0.0381,3.48
M0738,Movie 0738,2005,Action,105,2023-01-14,0.0274,2.98
M1179,Movie 1179,2025,Animation,80,2023-01-14,0.0201,3.43
M0177,Movie 0177,2012,Documentary,111,2023-01-16,0.0613,3.82
M0353,Movie 0353,2008,Fantasy,116,2023-01-16,0.0034,2.95
M0940,Movie 0940,1996,Thriller,88,2023-01-16,0.1131,2.89
M0441,Movie 0441,2013,Fantasy,133,2023-01-17,0.052,3.57
M0225,Movie 0225,2025,Thriller,124,2023-01-17,0.0228,4.51
M0910,Movie 0910,2020,Action,145,2023-01-17,0.0369,4.01
M1100,Movie 1100,2005,Adventure,102,2023-01-18,0.0064,3.5
