user_id,age,country,subscription,primary_device,signup_date
U00001,18,Spain,Basic,SmartTV,2024-10-18
U00002,27,Ecuador,Premium,Tablet,2025-03-02
U00003,46,Spain,Premium,SmartTV,2026-11-09
U00004,30,Peru,Standard,SmartTV,2024-09-17
U00005,31,Ecuador,Basic,SmartTV,2026-05-18
U00006,31,Spain,Standard,Mobile,2026-05-06
U00007,50,Peru,Standard,Mobile,2025-12-23
U00008,24,Argentina,Standard,Tablet,2024-02-10
U00009,38,Spain,Standard,Mobile,2026-02-04
U00010,34,Ecuador,Premium,Desktop,2024-06-24
U00011,36,Colombia,Standard,SmartTV,2026-10-27
U00012,38,Ecuador,Standard,SmartTV,2026-07-02
U00013,36,Ecuador,Premium,Tablet,2026-04-12
U00014,45,United States,Premium,Mobile,2025-09-11
U00015,35,Spain,Standard,Tablet,2026-12-16
U00016,56,Peru,Standard,Mobile,2026-01-06
U00017,36,Mexico,Standard,Mobile,2023-09-12
U00018,18,United States,Standard,SmartTV,2023-03-19
U00019,43,Colombia,Basic,Tablet,2023-01-16
U00020,40,Ecuador,Standard,SmartTV,2023-10-05
U00021,35,Spain,Standard,Desktop,2025-01-09
U00022,32,Argentina,Standard,SmartTV,2023-10-07
U00023,18,Ecuador,Premium,Mobile,2023-02-17
U00024,18,Chile,Premium,SmartTV,2023-09-10
U00025,55,Ecuador,Standard,Tablet,2025-03-14
U00026,28,Mexico,Basic,SmartTV,2025-02-07
U00027,47,Mexico,Basic,SmartTV,2026-01-12
U00028,18,Colombia,Standard,SmartTV,2023-06-25
U00029,22,Spain,Premium,SmartTV,2025-09-17
U00030,43,Chile,Standard,Mobile,2026-01-02
U00031,34,Argentina,Basic,Desktop,2026-10-19
U00032,41,Mexico,Basic,SmartTV,2024-06-07
U00033,35,Chile,Basic,SmartTV,2023-04-26
U00034,33,Colombia,Standard,Desktop,2023-04-08
U00035,27,Colombia,Standard,SmartTV,2025-11-20
U00036,21,Argentina,Basic,SmartTV,2023-02-22
U00037,52,Mexico,Standard,Tablet,2024-07-23
U00038,54,Colombia,Premium,Tablet,2023-05-02
U00039,23,United States,Standard,Mobile,2025-03-05
U00040,22,Spain,Basic,SmartTV,2024-09-01
U00041,31,Ecuador,Standard,SmartTV,2025-09-25
U00042,39,Ecuador,Premium,SmartTV,2026-07-26
U00043,33,Chile,Basic,Mobile,2026-05-12
U00044,41,Ecuador,Basic,SmartTV,2024-02-25
U00045,34,United States,Standard,Tablet,2026-05-27
U00046,34,Mexico,Standard,Mobile,2025-10-06
U00047,64,Ecuador,Premium,Desktop,2026-08-26
U00048,29,Peru,Standard,Desktop,2025-06-24
U00049,55,Colombia,Basic,Desktop,2025-10-26
U00050,52,Chile,Premium,SmartTV,2023-05-24
U00051,41,Colombia,Standard,Mobile,2023-02-10
U00052,18,Spain,Standard,SmartTV,2023-06-13
U00053,35,Argentina,Standard,Mobile,2023-08-26
U00054,29,United States,Standard,SmartTV,2025-01-25
U00055,35,Colombia,Premium,Mobile,2023-05-01
U00056,22,Peru,Basic,SmartTV,2025-01-19
U00057,44,Spain,Standard,Desktop,2024-03-23
U00058,47,Peru,Premium,SmartTV,2026-02-16
U00059,49,Peru,Standard,Mobile,2026-07-20
U00060,30,United States,Basic,SmartTV,2025-02-10
U00061,22,Argentina,Basic,Desktop,2023-08-07
U00062,39,Spain,Standard,Mobile,2025-03-20
U00063,56,Peru,Standard,SmartTV,2024-07-17
U00064,36,Mexico,Basic,Mobile,2023-07-08
U00065,40,Chile,Basic,Tablet,2026-02-12
U00066,32,Chile,Standard,SmartTV,2023-10-14
U00067,29,Ecuador,Standard,Mobile,2024-11-20
U00068,43,Spain,Basic,Tablet,2026-11-16
U00069,34,Peru,Standard,Mobile,2025-09-10
U00070,40,Mexico,Standard,SmartTV,2025-10-09
U00071,41,Spain,Basic,Desktop,2023-09-24
U00072,39,Argentina,Basic,SmartTV,2024-01-14
U00073,42,Colombia,Premium,SmartTV,2023-03-23
U00074,25,Mexico,Premium,Mobile,2023-01-12
U00075,24,Chile,Standard,SmartTV,2026-11-13
U00076,34,Colombia,Premium,Mobile,2026-10-06
U00077,35,Ecuador,Standard,SmartTV,2025-03-27
U00078,29,Mexico,Premium,Mobile,2024-06-19
U00079,38,Argentina,Premium,Mobile,2024-05-21
U00080,46,United States,Standard,Mobile,2026-10-19
U00081,49,Peru,Standard,SmartTV,2026-01-16
U00082,52,Peru,Basic,Tablet,2025-05-09
U00083,19,Ecuador,Standard,Tablet,2025-07-24
U00084,21,United States,Standard,SmartTV,2025-02-07
U00085,32,Spain,Standard,SmartTV,2024-08-21
U00086,36,United States,Basic,Tablet,2026-05-05
U00087,32,Chile,Premium,SmartTV,2023-06-12
U00088,28,Colombia,Premium,Mobile,2023-04-27
U00089,31,Mexico,Basic,SmartTV,2024-03-15
U00090,41,Peru,Standard,Mobile,2023-05-13
U00091,19,Peru,Premium,SmartTV,2026-02-14
U00092,63,Ecuador,Standard,SmartTV,2023-10-07
U00093,35,Ecuador,Premium,Desktop,2026-08-27
U00094,48,Peru,Standard,SmartTV,2023-09-17
U00095,28,United States,Standard,Mobile,2023-08-16
U00096,42,Argentina,Standard,Tablet,2023-07-23
U00097,36,Argentina,Standard,Tablet,2026-03-05
U00098,45,Colombia,Standard,SmartTV,2024-03-03
U00099,33,Argentina,Premium,SmartTV,2024-09-02
U00100,54,Peru,Standard,Mobile,2023-11-27
U00101,18,Ecuador,Standard,SmartTV,2023-01-24
U00102,46,Peru,Standard,Tablet,2023-11-15
U00103,36,Ecuador,Standard,Mobile,2024-03-26
U00104,23,Spain,Standard,Desktop,2023-09-05
U00105,58,Spain,Standard,Desktop,2025-01-20
U00106,57,Colombia,Standard,SmartTV,2025-06-01
U00107,18,Mexico,Premium,SmartTV,2023-12-23
U00108,37,Peru,Premium,Mobile,2025-05-17
U00109,43,Ecuador,Standard,Mobile,2023-08-08
U00110,40,Mexico,Standard,SmartTV,2026-02-20
U00111,53,Argentina,Premium,Mobile,2023-09-26
U00112,51,Argentina,Basic,Desktop,2025-10-10
U00113,38,Ecuador,Basic,Mobile,2024-05-20
U00114,62,Chile,Basic,SmartTV,2024-12-16
U00115,46,Ecuador,Standard,Mobile,2025-11-06
U00116,31,Ecuador,Standard,Desktop,2026-01-10
U00117,28,Ecuador,Standard,SmartTV,2024-10-19
U00118,50,Ecuador,Standard,Mobile,2025-12-12
U00119,25,Peru,Basic,Tablet,2025-12-25
U00120,30,Peru,Standard,Tablet,2026-03-23
U00121,32,Mexico,Basic,SmartTV,2023-01-12
U00122,39,Colombia,Standard,SmartTV,2025-01-02
U00123,33,Ecuador,Standard,Mobile,2025-04-09
U00124,19,United States,Basic,SmartTV,2023-04-08
U00125,49,Spain,Basic,Mobile,2023-09-10
U00126,30,Ecuador,Standard,SmartTV,2025-08-16
U00127,59,Peru,Basic,Mobile,2023-12-06
U00128,39,Ecuador,Standard,SmartTV,2026-11-03
U00129,50,United States,Premium,Desktop,2024-03-15
U00130,43,Peru,Standard,SmartTV,2025-07-24
U00131,51,Ecuador,Basic,Mobile,2025-04-27
U00132,42,Argentina,Standard,Desktop,2026-08-06
U00133,38,Argentina,Basic,SmartTV,2023-04-10
U00134,48,Colombia,Premium,SmartTV,2024-07-15
U00135,65,Colombia,Premium,Tablet,2023-04-07
U00136,32,Peru,Standard,Desktop,2024-05-19
U00137,45,Colombia,Standard,Mobile,2025-07-27
U00138,35,Colombia,Standard,SmartTV,2023-02-11
U00139,41,Spain,Standard,Desktop,2026-09-19
U00140,36,Argentina,Basic,Tablet,2025-03-15
U00141,18,Mexico,Premium,Mobile,2023-12-25
U00142,33,Mexico,Standard,Tablet,2025-03-16
U00143,47,Chile,Premium,SmartTV,2024-04-11
U00144,26,Peru,Premium,Mobile,2023-12-21
U00145,46,Argentina,Standard,SmartTV,2024-03-01
U00146,37,Ecuador,Standard,SmartTV,2024-02-26
U00147,33,Ecuador,Standard,SmartTV,2024-09-12
U00148,46,Ecuador,Premium,Desktop,2025-05-22
U00149,43,Argentina,Basic,SmartTV,2025-12-23
U00150,40,Mexico,Standard,SmartTV,2023-08-25
U00151,47,Chile,Standard,SmartTV,2026-02-15
U00152,37,Chile,Basic,SmartTV,2025-10-06
U00153,18,Spain,Basic,Tablet,2024-12-06
U00154,30,Ecuador,Premium,SmartTV,2023-02-27
U00155,18,Peru,Standard,SmartTV,2023-09-17
U00156,43,Argentina,Standard,Mobile,2024-12-11
U00157,46,Mexico,Basic,Mobile,2024-09-10
U00158,46,Peru,Standard,Desktop,2025-04-26
U00159,41,Colombia,Standard,SmartTV,2024-02-27
U00160,47,United States,Standard,SmartTV,2025-10-17
U00161,18,Peru,Premium,Mobile,2023-01-02
U00162,34,Spain,Basic,SmartTV,2026-02-16
U00163,18,Argentina,Standard,Mobile,2024-10-22
U00164,31,Spain,Premium,Mobile,2024-12-22
U00165,54,Ecuador,Basic,Desktop,2024-02-25
U00166,48,Chile,Premium,SmartTV,2023-05-04
U00167,43,Colombia,Standard,Mobile,2025-02-05
U00168,33,Colombia,Basic,Mobile,2026-06-18
U00169,23,Colombia,Basic,SmartTV,2023-07-06
U00170,37,Peru,Standard,SmartTV,2026-04-17
U00171,48,Peru,Premium,SmartTV,2026-01-03
U00172,40,Mexico,Premium,Desktop,2026-04-15
U00173,18,Colombia,Standard,Desktop,2025-10-11
U00174,36,Colombia,Basic,Mobile,2023-01-26
U00175,18,Peru,Standard,Desktop,2026-04-10
U00176,45,Mexico,Standard,SmartTV,2026-05-05
U00177,27,Ecuador,Basic,SmartTV,2023-10-02
U00178,20,Argentina,Basic,Tablet,2024-01-02
U00179,45,Peru,Standard,SmartTV,2024-02-04
U00180,42,Mexico,Standard,Mobile,2025-08-23
U00181,38,Argentina,Standard,Mobile,2025-10-06
U00182,61,Chile,Standard,Tablet,2025-08-07
U00183,43,Mexico,Basic,Desktop,2025-01-16
U00184,27,United States,Basic,SmartTV,2024-01-03
U00185,41,Ecuador,Standard,SmartTV,2026-06-26
U00186,32,Peru,Standard,SmartTV,2025-07-27
U00187,50,United States,Basic,Mobile,2026-12-06
U00188,38,Spain,Premium,Mobile,2025-10-10
U00189,40,Mexico,Standard,Mobile,2024-05-05
